certification_number,title,attributes.trait_type,attributes.value
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON GAME BASE II
,,Sport,TCG Cards
,,Card Number,1
,,Player,ALAKAZAM - HOLO
,,Variety/Pedigree,BASE II
,,Grade,NM-MT 8
,,PSA Price Guide Value,$60
,,Edition,1
52987400,1999 Pokemon Game 6 Gyarados Holo PSA 9 Mint,Certification Number,52987400
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON GAME
,,Sport,TCG Cards
,,Card Number,6
,,Player,GYARADOS-HOLO
,,Variety/Pedigree,
,,Grade,MINT 9
,,PSA Price Guide Value,$175
,,Edition,1
52987402,2000 Pokemon Game Base II 7 Gyarados Holo PSA 8 NM-MT,Certification Number,52987402
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON GAME BASE II
,,Sport,TCG Cards
,,Card Number,7
,,Player,GYARADOS-HOLO
,,Variety/Pedigree,BASE II
,,Grade,NM-MT 8
,,PSA Price Guide Value,$40
,,Edition,1
52987404,2000 Pokemon Gym Heroes Holo 1st Edition 9 Misty's Seadra PSA 9 Mint,Certification Number,52987404
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON GYM HEROES
,,Sport,TCG Cards
,,Card Number,9
,,Player,MISTY'S SEADRA
,,Variety/Pedigree,HOLO-1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$55
,,Edition,1
52987405,1997 Pokemon Japanese Jungle 45 Vileplume Holo PSA 9 Mint,Certification Number,52987405
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1997
,,Brand,POKEMON JAPANESE JUNGLE
,,Sport,TCG Cards
,,Card Number,45
,,Player,VILEPLUME-HOLO
,,Variety/Pedigree,
,,Grade,MINT 9
,,PSA Price Guide Value,$50
,,Edition,1
52987408,2000 Pokemon Gym Heroes Holo 1st Edition 5 Erika's Vileplume PSA 8 NM-MT,Certification Number,52987408
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON GYM HEROES
,,Sport,TCG Cards
,,Card Number,5
,,Player,ERIKA'S VILEPLUME
,,Variety/Pedigree,HOLO-1ST EDITION
,,Grade,NM-MT 8
,,PSA Price Guide Value,$25
,,Edition,1
52987411,2000 Pokemon Gym Heroes Holo 1st Edition 14 Sabrina's Gengar PSA 9 Mint,Certification Number,52987411
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON GYM HEROES
,,Sport,TCG Cards
,,Card Number,14
,,Player,SABRINA'S GENGAR
,,Variety/Pedigree,HOLO-1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$600
,,Edition,1
52987413,2000 Pokemon Gym Heroes Holo 1st Edition 2 Brock's Rhydon PSA 9 Mint,Certification Number,52987413
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON GYM HEROES
,,Sport,TCG Cards
,,Card Number,2
,,Player,BROCK'S RHYDON
,,Variety/Pedigree,HOLO-1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$50
,,Edition,1
52987414,1999 Pokemon Fossil 1st Edition 3 Ditto Holo PSA 8 NM-MT,Certification Number,52987414
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON FOSSIL
,,Sport,TCG Cards
,,Card Number,3
,,Player,DITTO-HOLO
,,Variety/Pedigree,1ST EDITION
,,Grade,NM-MT 8
,,PSA Price Guide Value,$20
,,Edition,1
52987417,2020 Pokemon Sword & Shield Darkness Ablaze 020 FA/Charizard Vmax PSA 9 Mint,Certification Number,52987417
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWORD & SHIELD DARKNESS ABLAZE
,,Sport,TCG Cards
,,Card Number,020
,,Player,FA/CHARIZARD VMAX
,,Variety/Pedigree,DARKNESS ABLAZE
,,Grade,MINT 9
,,PSA Price Guide Value,$80
,,Edition,1
52987418,2020 Pokemon Sword & Shield Darkness Ablaze 020 FA/Charizard Vmax PSA 10 Gem Mint,Certification Number,52987418
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWORD & SHIELD DARKNESS ABLAZE
,,Sport,TCG Cards
,,Card Number,020
,,Player,FA/CHARIZARD VMAX
,,Variety/Pedigree,DARKNESS ABLAZE
,,Grade,GEM MT 10
,,PSA Price Guide Value,$140
,,Edition,1
53195867,1999 Pokemon Japanese Promo Southern Islands Island R I Togepi Holo PSA 8 NM-MT,Certification Number,53195867
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON JAPANESE PROMO SOUTHERN ISLANDS
,,Sport,TCG Cards
,,Card Number,
,,Player,TOGEPI-HOLO
,,Variety/Pedigree,SOUTHERN ISLAND-R.I.
,,Grade,NM-MT 8
,,Edition,1
53195904,2018 Pokemon Sun & Moon Celestial Storm 97 Jirachi Holo PSA 9 Mint,Certification Number,53195904
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2018
,,Brand,POKEMON SUN & MOON CELESTIAL STORM
,,Sport,TCG Cards
,,Card Number,97
,,Player,JIRACHI-HOLO
,,Variety/Pedigree,CELESTIAL STORM
,,Grade,MINT 9
,,PSA Price Guide Value,$25
,,Edition,1
53195908,2017 Pokemon Sun & Moon Shining Legends 57 Shining Arceus Holo PSA 9 Mint,Certification Number,53195908
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2017
,,Brand,POKEMON SUN & MOON SHINING LEGENDS
,,Sport,TCG Cards
,,Card Number,57
,,Player,SHINING ARCEUS-HOLO
,,Variety/Pedigree,SHINING LEGENDS
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
53195917,2019 Pokemon Sun & Moon Cosmic Eclipse 38 Blastoise & Piplup GX PSA 9 Mint,Certification Number,53195917
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2019
,,Brand,POKEMON SUN & MOON COSMIC ECLIPSE
,,Sport,TCG Cards
,,Card Number,38
,,Player,BLASTOISE & PIPLUP GX
,,Variety/Pedigree,COSMIC ECLIPSE
,,Grade,MINT 9
,,PSA Price Guide Value,$25
,,Edition,1
53195928,1999 Pokemon Japanese Squirtle Deck 1 Growlithe PSA 10 Gem Mint,Certification Number,53195928
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON JAPANESE SQUIRTLE DECK
,,Sport,TCG Cards
,,Card Number,1
,,Player,GROWLITHE
,,Variety/Pedigree,SQUIRTLE DECK
,,Grade,GEM MT 10
,,Edition,1
53195933,1999 Pokemon Japanese Squirtle Deck 39 Magmar PSA 10 Gem Mint,Certification Number,53195933
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON JAPANESE SQUIRTLE DECK
,,Sport,TCG Cards
,,Card Number,39
,,Player,MAGMAR
,,Variety/Pedigree,SQUIRTLE DECK
,,Grade,GEM MT 10
,,Edition,1
53195934,2001 Pokemon Japanese Chikorita Half Deck 12 Growlithe PSA 9 Mint,Certification Number,53195934
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2001
,,Brand,POKEMON JAPANESE CHIKORITA HALF DECK
,,Sport,TCG Cards
,,Card Number,12
,,Player,GROWLITHE
,,Variety/Pedigree,CHIKORITA HALF DECK
,,Grade,MINT 9
,,Edition,1
53195938,1999 Pokemon Japanese Squirtle Deck 1 Growlithe PSA 9 Mint,Certification Number,53195938
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON JAPANESE SQUIRTLE DECK
,,Sport,TCG Cards
,,Card Number,1
,,Player,GROWLITHE
,,Variety/Pedigree,SQUIRTLE DECK
,,Grade,MINT 9
,,Edition,1
53195942,1999 Pokemon Japanese Squirtle Deck 13 Spearow PSA 10 Gem Mint,Certification Number,53195942
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON JAPANESE SQUIRTLE DECK
,,Sport,TCG Cards
,,Card Number,13
,,Player,SPEAROW
,,Variety/Pedigree,SQUIRTLE DECK
,,Grade,GEM MT 10
,,Edition,1
53195943,1999 Pokemon Japanese Squirtle Deck 39 Magmar PSA 10 Gem Mint,Certification Number,53195943
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON JAPANESE SQUIRTLE DECK
,,Sport,TCG Cards
,,Card Number,39
,,Player,MAGMAR
,,Variety/Pedigree,SQUIRTLE DECK
,,Grade,GEM MT 10
,,Edition,1
53195947,2017 Pokemon Sun & Moon Shining Legends 57 Shining Arceus Holo PSA 9 Mint,Certification Number,53195947
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2017
,,Brand,POKEMON SUN & MOON SHINING LEGENDS
,,Sport,TCG Cards
,,Card Number,57
,,Player,SHINING ARCEUS-HOLO
,,Variety/Pedigree,SHINING LEGENDS
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
53195970,2014 Pokemon XY Furious Fists Fist Ultra Rare 113 M Lucario EX PSA 9 Mint,Certification Number,53195970
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2014
,,Brand,POKEMON XY FURIOUS FISTS
,,Sport,TCG Cards
,,Card Number,113
,,Player,M LUCARIO EX
,,Variety/Pedigree,FURIOUS FIST-ULTRA RARE
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
53506295,2019 Pokemon Sun & Moon Team UP Secret FA 184 Pikachu & Zekrom GX PSA 10 Gem Mint,Certification Number,53506295
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2019
,,Brand,POKEMON SUN & MOON TEAM UP
,,Sport,TCG Cards
,,Card Number,184
,,Player,PIKACHU & ZEKROM GX
,,Variety/Pedigree,TEAM UP-SECRET-FA
,,Grade,GEM MT 10
,,PSA Price Guide Value,$200
,,Edition,1
54610180,2006 Pokemon EX Dragon Frontiers 6 Nidoking Holo PSA 8 NM-MT,Certification Number,54610180
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2006
,,Brand,POKEMON EX DRAGON FRONTIERS
,,Sport,TCG Cards
,,Card Number,6
,,Player,NIDOKING-HOLO
,,Variety/Pedigree,DRAGON FRONTIERS
,,Grade,NM-MT 8
,,PSA Price Guide Value,$25
,,Edition,1
54610414,2006 Pokemon EX Legend Maker 6 Golem Rev.Foil PSA 9 Mint,Certification Number,54610414
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2006
,,Brand,POKEMON EX LEGEND MAKER
,,Sport,TCG Cards
,,Card Number,6
,,Player,GOLEM-REV.FOIL
,,Variety/Pedigree,LEGEND MAKER
,,Grade,MINT 9
,,PSA Price Guide Value,$90
,,Edition,1
55145632,2020 Pokemon Sword & Shield Vivid Voltage 025 Charizard PSA 10 Gem Mint,Certification Number,55145632
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWORD & SHIELD VIVID VOLTAGE
,,Sport,TCG Cards
,,Card Number,025
,,Player,CHARIZARD
,,Variety/Pedigree,VIVID VOLTAGE
,,Grade,GEM MT 10
,,Edition,1
55228423,2003 Pokemon Aquapolis H12 Hypno Holo PSA 10 Gem Mint,Certification Number,55228423
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2003
,,Brand,POKEMON AQUAPOLIS
,,Sport,TCG Cards
,,Card Number,H12
,,Player,HYPNO-HOLO
,,Variety/Pedigree,
,,Grade,GEM MT 10
,,PSA Price Guide Value,$500
,,Edition,1
55250486,2000 Pokemon Game Base II 15 Poliwrath Holo PSA 9 Mint,Certification Number,55250486
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON GAME BASE II
,,Sport,TCG Cards
,,Card Number,15
,,Player,POLIWRATH-HOLO
,,Variety/Pedigree,BASE II
,,Grade,MINT 9
,,PSA Price Guide Value,$50
,,Edition,1
55396739,2000 Pokemon Rocket 1st Edition 23 Dark Dugtrio PSA 9 Mint,Certification Number,55396739
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,23
,,Player,DARK DUGTRIO
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396741,2000 Pokemon Rocket 1st Edition 33 Dark Dragonair PSA 9 Mint,Certification Number,55396741
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,33
,,Player,DARK DRAGONAIR
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396742,2000 Pokemon Rocket 1st Edition 33 Dark Dragonair PSA 9 Mint,Certification Number,55396742
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,33
,,Player,DARK DRAGONAIR
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396744,2000 Pokemon Rocket 1st Edition 26 Dark Hypno PSA 9 Mint,Certification Number,55396744
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,26
,,Player,DARK HYPNO
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396747,2000 Pokemon Rocket 1st Edition 37 Dark Golduck PSA 9 Mint,Certification Number,55396747
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,37
,,Player,DARK GOLDUCK
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396749,2000 Pokemon Rocket 1st Edition 31 Dark Weezing PSA 9 Mint,Certification Number,55396749
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,31
,,Player,DARK WEEZING
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396751,2000 Pokemon Rocket 1st Edition 18 Dark Alakazam PSA 9 Mint,Certification Number,55396751
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,18
,,Player,DARK ALAKAZAM
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396754,2000 Pokemon Rocket 1st Edition 39 Dark Kadabra PSA 9 Mint,Certification Number,55396754
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,39
,,Player,DARK KADABRA
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396755,2000 Pokemon Rocket 1st Edition 39 Dark Kadabra PSA 9 Mint,Certification Number,55396755
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,39
,,Player,DARK KADABRA
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396756,1999 Pokemon Jungle 1st Edition 24 Pidgeot PSA 9 Mint,Certification Number,55396756
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON JUNGLE
,,Sport,TCG Cards
,,Card Number,24
,,Player,PIDGEOT
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,Edition,1
55396759,2000 Pokemon Rocket 1st Edition 48 Porygon PSA 9 Mint,Certification Number,55396759
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,48
,,Player,PORYGON
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396760,2000 Pokemon Rocket 1st Edition 27 Dark Machamp PSA 9 Mint,Certification Number,55396760
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,27
,,Player,DARK MACHAMP
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396761,2000 Pokemon Rocket 1st Edition 27 Dark Machamp PSA 9 Mint,Certification Number,55396761
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,27
,,Player,DARK MACHAMP
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396762,2000 Pokemon Rocket 1st Edition 30 Dark Vileplume PSA 9 Mint,Certification Number,55396762
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,30
,,Player,DARK VILEPLUME
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396763,2000 Pokemon Rocket 1st Edition 80 Rainbow Energy PSA 9 Mint,Certification Number,55396763
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,80
,,Player,RAINBOW ENERGY
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396766,2000 Pokemon Rocket 1st Edition 38 Dark Jolteon PSA 9 Mint,Certification Number,55396766
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,38
,,Player,DARK JOLTEON
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396767,2000 Pokemon Rocket 1st Edition 38 Dark Jolteon PSA 9 Mint,Certification Number,55396767
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,38
,,Player,DARK JOLTEON
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396768,2000 Pokemon Rocket 1st Edition 38 Dark Jolteon PSA 9 Mint,Certification Number,55396768
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,38
,,Player,DARK JOLTEON
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396771,2000 Pokemon Rocket 1st Edition 45 Dark Vaporeon PSA 9 Mint,Certification Number,55396771
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,45
,,Player,DARK VAPOREON
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396772,2000 Pokemon Rocket 1st Edition 45 Dark Vaporeon PSA 9 Mint,Certification Number,55396772
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,45
,,Player,DARK VAPOREON
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396773,2000 Pokemon Rocket 1st Edition 45 Dark Vaporeon PSA 9 Mint,Certification Number,55396773
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,45
,,Player,DARK VAPOREON
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396774,2000 Pokemon Rocket 1st Edition 35 Dark Flareon PSA 9 Mint,Certification Number,55396774
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,35
,,Player,DARK FLAREON
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396775,2000 Pokemon Rocket 1st Edition 35 Dark Flareon PSA 9 Mint,Certification Number,55396775
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,35
,,Player,DARK FLAREON
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396776,2000 Pokemon Rocket 1st Edition 68 Squirtle PSA 9 Mint,Certification Number,55396776
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,68
,,Player,SQUIRTLE
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396778,2000 Pokemon Rocket 1st Edition 20 Dark Blastoise PSA 9 Mint,Certification Number,55396778
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,20
,,Player,DARK BLASTOISE
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$75
,,Edition,1
55396779,2000 Pokemon Rocket 1st Edition 32 Dark Charmeleon PSA 9 Mint,Certification Number,55396779
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,32
,,Player,DARK CHARMELEON
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396784,1999 Pokemon Jungle 1st Edition 47 Tauros PSA 9 Mint,Certification Number,55396784
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON JUNGLE
,,Sport,TCG Cards
,,Card Number,47
,,Player,TAUROS
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,Edition,1
55396785,1999 Pokemon Jungle 1st Edition 17 Clefable PSA 9 Mint,Certification Number,55396785
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON JUNGLE
,,Sport,TCG Cards
,,Card Number,17
,,Player,CLEFABLE
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,Edition,1
55396786,1999 Pokemon Jungle 1st Edition 33 Butterfree PSA 9 Mint,Certification Number,55396786
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON JUNGLE
,,Sport,TCG Cards
,,Card Number,33
,,Player,BUTTERFREE
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,Edition,1
55396787,2000 Pokemon Rocket 1st Edition 44 Dark Rapidash PSA 9 Mint,Certification Number,55396787
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,44
,,Player,DARK RAPIDASH
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396789,2000 Pokemon Rocket 1st Edition 28 Dark Magneton PSA 9 Mint,Certification Number,55396789
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,28
,,Player,DARK MAGNETON
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
55396790,2000 Pokemon Rocket 1st Edition 40 Dark Machoke PSA 9 Mint,Certification Number,55396790
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON ROCKET
,,Sport,TCG Cards
,,Card Number,40
,,Player,DARK MACHOKE
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$30
,,Edition,1
56449210,2019 Pokemon SM Black Star Promo Hidden Fates Tins SM211 Charizard GX PSA 10 Gem Mint,Certification Number,56449210
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2019
,,Brand,POKEMON SM BLACK STAR PROMO
,,Sport,TCG Cards
,,Card Number,SM211
,,Player,CHARIZARD GX
,,Variety/Pedigree,PROMO-HIDDEN FATES TINS
,,Grade,GEM MT 10
,,Edition,1
56449219,2016 Pokemon XY Evolutions 100 FA/M Venusaur EX PSA 10 Gem Mint,Certification Number,56449219
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2016
,,Brand,POKEMON XY EVOLUTIONS
,,Sport,TCG Cards
,,Card Number,100
,,Player,FA/M VENUSAUR EX
,,Variety/Pedigree,EVOLUTIONS
,,Grade,GEM MT 10
,,PSA Price Guide Value,$60
,,Edition,1
56490584,2020 Pokemon Swsh Black Star Promo Prerelease 066 Charizard Holo PSA 10 Gem Mint,Certification Number,56490584
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWSH BLACK STAR PROMO
,,Sport,TCG Cards
,,Card Number,066
,,Player,CHARIZARD-HOLO
,,Variety/Pedigree,PRERELEASE
,,Grade,GEM MT 10
,,Edition,1
56490595,2016 Pokemon XY Generations 12 M Charizard EX PSA 9 Mint,Certification Number,56490595
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2016
,,Brand,POKEMON XY GENERATIONS
,,Sport,TCG Cards
,,Card Number,12
,,Player,M CHARIZARD EX
,,Variety/Pedigree,GENERATIONS
,,Grade,MINT 9
,,PSA Price Guide Value,$125
,,Edition,1
56490600,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box 050 Charizard V PSA 10 Gem Mint,Certification Number,56490600
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
